Bucket label,RT,m/z,Name,Formula,Peak number
633.21234 Da 75.90 s,1.26,634.21961,,C22H36N9O9PS,bin_358
453.14636 Da 75.90 s,1.26,454.15364,,C15H15N15O3,bin_359
359.14269 Da 75.90 s,1.26,360.14997,,C8H21N7O9,bin_360
642.18191 Da 76.21 s,1.27,322.09823,,,bin_361
97.95522 Da 76.21 s,1.27,98.9625,,,bin_362
398.09511 Da 76.21 s,1.27,200.05483,,C11H18N4O12,bin_363
484.11132 Da 76.21 s,1.27,485.11859,,C10H21N12O7PS,bin_364
722.17961 Da 77.04 s,1.28,362.09708,,C25H38O24,bin_365
542.11658 Da 77.48 s,1.29,272.06557,,C14H20N14O6P2,bin_366
510.04610 Da 77.64 s,1.29,511.05337,,C20H7N12O4P,bin_367
1406.41204 Da 77.76 s,1.3,704.2133,,C43H73N22O24P3S,bin_368
1090.31741 Da 77.76 s,1.3,1091.32469,,C34H58N8O32,bin_369
1064.29554 Da 77.76 s,1.3,533.15505,,C37H60O35,bin_370
406.08606 Da 78.70 s,1.31,407.09334,,C9H15N10O7P,bin_371
316.10694 Da 79.13 s,1.32,317.11422,,,bin_372
294.05634 Da 79.13 s,1.32,148.03545,,C24H6,bin_373
420.02666 Da 79.13 s,1.32,421.03394,,C12H9N10O4PS,bin_374
416.10948 Da 79.13 s,1.32,209.06202,,C11H17N10O6P,bin_375
964.23341 Da 79.13 s,1.32,483.12398,,,bin_376
542.16473 Da 79.13 s,1.32,272.08964,,C11H33N10O9P3,bin_377
748.20112 Da 79.13 s,1.32,749.2084,,C23H32N12O17,bin_378
299.95747 Da 80.15 s,1.34,300.96475,,C5H9N4O3PS3,bin_379
331.12313 Da 80.51 s,1.34,332.13041,,C21H17NO3,bin_380
484.05610 Da 81.13 s,1.35,485.06337,,C15H23N2O10P3,bin_381
210.54468 Da 81.13 s,1.35,211.55195,,,bin_382
129.50975 Da 81.65 s,1.36,130.51703,,,bin_383
254.00696 Da 81.65 s,1.36,128.01076,,C7H12O6P2,bin_384
356.08448 Da 81.65 s,1.36,357.09176,,,bin_385
290.97214 Da 81.65 s,1.36,291.97941,,C6H13NO4S4,bin_386
138.51821 Da 81.65 s,1.36,139.52548,,,bin_387
264.03818 Da 81.65 s,1.36,265.04545,,C11H8N2O6,bin_388
362.05263 Da 81.74 s,1.36,182.03359,,C11H16N4O6P2,bin_389
290.94481 Da 81.92 s,1.37,291.95208,,C7H5N3O4S3,bin_390
1226.34797 Da 82.36 s,1.37,614.18126,,C38H77N4O32P3S,bin_391
1080.26888 Da 82.36 s,1.37,541.14172,,C23H53N24O16PS4,bin_392
1388.39733 Da 82.36 s,1.37,695.20594,,,bin_393
1568.46300 Da 82.36 s,1.37,785.23878,,C47H61N40O22P,bin_394
748.14219 Da 82.36 s,1.37,375.07837,,,bin_395
428.01775 Da 83.71 s,1.4,429.02502,,C11H10N8O7P2,bin_396
247.14193 Da 83.71 s,1.4,248.1492,,C11H21NO5,bin_397
263.12110 Da 84.16 s,1.4,264.12838,,C12H17N5S,bin_398
247.16237 Da 84.16 s,1.4,248.16965,,C12H25NO2S,bin_399
792.18100 Da 84.16 s,1.4,397.09777,,,bin_400
323.07009 Da 84.16 s,1.4,324.07737,,C13H9N9S,bin_401
440.04262 Da 84.16 s,1.4,221.02859,,C13H18N2O11P2,bin_402
422.02760 Da 84.16 s,1.4,212.02108,,C9H12N8O8P2,bin_403
