Bucket label,RT,m/z,Name,Formula,Peak number
206.11186 Da 51.68 s,0.86,207.11913,,,pos 206.11186 Da 51.68 s
116.02024 Da 51.68 s,0.86,117.02752,,,pos 116.02024 Da 51.68 s
162.00816 Da 51.74 s,0.86,82.01136,,,pos 162.00816 Da 51.74 s
69.52519 Da 51.80 s,0.86,70.53247,,,pos 69.52519 Da 51.80 s
222.00496 Da 51.80 s,0.86,223.01223,,C8H6N4S2,pos 222.00496 Da 51.80 s
145.04832 Da 51.80 s,0.86,73.53144,,,pos 145.04832 Da 51.80 s
211.06154 Da 58.46 s,0.97,212.06882,,C6H14NO5P,pos 211.06154 Da 58.46 s
364.09157 Da 58.63 s,0.98,183.05306,,C18H8N10,pos 364.09157 Da 58.63 s
130.52768 Da 58.80 s,0.98,131.53495,,,pos 130.52768 Da 58.80 s
524.14259 Da 58.80 s,0.98,263.07857,,,pos 524.14259 Da 58.80 s
121.51867 Da 58.80 s,0.98,122.52595,,,pos 121.51867 Da 58.80 s
313.96656 Da 58.80 s,0.98,314.97384,,C10H6N2O6S2,pos 313.96656 Da 58.80 s
73.01607 Da 58.82 s,0.98,74.02334,,C2H3NO2,pos 73.01607 Da 58.82 s
562.21067 Da 61.95 s,1.03,282.11261,,C27H38N4O3S3,pos 562.21067 Da 61.95 s
480.12543 Da 61.95 s,1.03,481.13271,,C19H16N10O6,pos 480.12543 Da 61.95 s
295.08602 Da 61.95 s,1.03,296.0933,,C6H13N7O7,pos 295.08602 Da 61.95 s
182.54313 Da 62.15 s,1.04,183.5504,,,pos 182.54313 Da 62.15 s
215.05560 Da 63.86 s,1.06,216.06287,,C8H5N7O,pos 215.05560 Da 63.86 s
197.10027 Da 64.53 s,1.08,198.10754,,C5H15N3O5,pos 197.10027 Da 64.53 s
